FECHA,Registro_mp2_5
2016-11-04,5.81339
2016-11-05,7.34125
2016-11-06,9.94083
2016-11-07,14.5728
2016-11-08,14.0248
2016-11-09,14.255
2016-11-10,15.6332
2016-11-11,14.0117
2016-11-12,13.5456
2016-11-13,13.9772
2016-11-14,14.0318
2016-11-15,21.2335
2016-11-16,20.9806
2016-11-17,14.0408
2016-11-18,10.7819
2016-11-19,13.7415
2016-11-20,11.7018
2016-11-21,15.246
2016-11-22,20.0439
2016-11-23,12.2137
2016-11-24,17.0373
2016-11-25,21.2954
2016-11-26,10.5915
2016-11-27,7.40858
2016-11-28,7.9725
2016-11-29,7.23508
2016-11-30,11.8605
2016-12-01,7.226
2016-12-02,8.94496
2016-12-03,11.2612
2016-12-04,10.3836
2016-12-05,8.57591
2016-12-06,10.1438
2016-12-07,7.97196
2016-12-08,8.09204
2016-12-09,8.60559
2016-12-10,8.58708
2016-12-11,5.54379
2016-12-12,8.56645
2016-12-13,8.48146
2016-12-14,7.96167
2016-12-15,6.48666
2016-12-16,8.77725
2016-12-17,7.87946
2016-12-18,7.19154
2016-12-19,7.97304
2016-12-20,12.349
2016-12-21,8.86147
2016-12-22,7.73409
2016-12-23,8.38112
2016-12-24,9.31325
2016-12-25,10.3335
2016-12-26,8.17192
2016-12-27,7.57717
2016-12-28,7.38475
2016-12-29,5.81025
2016-12-30,6.45846
2016-12-31,11.8742
2017-01-01,11.8821
2017-01-02,5.57204
2017-01-03,9.53691
2017-01-04,9.81816
2017-01-05,8.4843
2017-01-06,8.37492
2017-01-07,8.50674
2017-01-08,5.50655
2017-01-09,8.42679
2017-01-10,10.4971
2017-01-11,7.72646
2017-01-12,7.23254
2017-01-13,5.78591
2017-01-14,6.546
2017-01-15,6.68183
2017-01-16,6.97804
2017-01-17,5.22292
2017-01-18,6.13896
2017-01-19,6.27063
2017-01-20,6.065
2017-01-21,5.877
2017-01-22,7.39475
2017-01-23,7.56262
2017-01-24,5.53396
2017-01-25,5.17455
2017-01-26,6.58183
2017-01-27,6.72543
2017-01-28,6.60629
2017-01-29,6.01204
2017-01-30,8.40883
2017-01-31,8.11629
2017-02-01,12.3087
2017-02-02,6.97017
2017-02-03,10.1899
2017-02-04,6.77087
2017-02-05,7.08979
2017-02-06,5.49841
2017-02-07,9.34267
2017-02-08,8.41667
2017-02-09,8.55359
2017-02-10,8.90938
2017-02-11,7.13541
2017-02-12,6.271
2017-02-13,6.87424
2017-02-14,5.52917
2017-02-15,3.95496
2017-02-16,6.69741
2017-02-17,8.93379
2017-02-18,5.88863
2017-02-19,2.25121
2017-02-20,2.75996
2017-02-21,1.30167
2017-02-22,1.33771
2017-02-23,1.81467
2017-02-24,2.05554
2017-02-25,2.87733
2017-02-26,3.11796
2017-02-27,4.00288
2017-02-28,6.18675
2017-03-01,6.30988
2017-03-02,6.39296
2017-03-03,8.17108
2017-03-04,7.003
2017-03-05,9.38162
2017-03-06,9.47687
2017-03-07,8.92712
2017-03-08,12.8588
2017-03-09,9.1545
2017-03-10,8.72192
2017-03-11,17.4756
2017-03-12,10.2457
2017-03-13,9.76991
2017-03-14,4.02375
2017-03-15,11.2308
2017-03-16,19.4338
2017-03-17,16.2253
2017-03-18,7.93592
2017-03-19,6.43
2017-03-20,12.1839
2017-03-21,11.1549
2017-03-22,16.6762
2017-03-23,22.9631
2017-03-24,45.9612
2017-03-25,45.435
2017-03-26,15.9939
2017-03-27,12.2761
2017-03-28,11.3957
2017-03-29,16.9662
2017-03-30,22.1939
2017-03-31,25.3787
2017-04-01,28.3141
2017-04-02,27.8516
2017-04-03,38.7539
2017-04-04,35.8358
2017-04-05,20.8312
2017-04-06,36.1087
2017-04-07,35.5253
2017-04-08,49.4475
2017-04-09,65.3392
2017-04-10,18.8466
